,sample,mu1_1,s1_1,A1_1,mu2_1,s2_1,A2_1,fneg_1,A1+A2,A_neg,fa1,mu1_2,s1_2,A1_2,mu2_2,s2_2,A2_2,fneg_2,,,fa2,mu1_3,s1_3,A1_3,mu2_3,s2_3,A2_3,fneg_3,,,fa3
41,403_4,5.68765337,0.581644413,22493.74353,8.282759039,0.022131568,78.85649389,0.028490109,22572.60002,661.9549958,0.003393932,5.812740944,0.525010996,19482.00695,8.986082177,0.293471895,1.152151377,0.086204854,19483.15911,1837.986214,5.4038E-05,5.828964827,0.578354674,22319.26411,8.861580921,0.021280355,0.425149394,0.048229454,22319.68926,1131.014644,1.81295E-05
42,403G_1,5.729983261,0.683274457,15708.62594,8.043485424,0.496805854,7910.258356,0.02117605,23618.8843,510.9751098,0.327820325,5.862729379,0.629564904,18951.65083,7.904818846,0.361468144,2490.755082,0.074543061,21442.40592,1727.127985,0.107501303,5.874849292,0.6221221,20657.55338,7.780860493,0.303491253,1541.201267,0.050292926,22198.75465,1175.56281,0.065935669
43,403G_2,5.747326339,0.62712497,21855.82077,8.028652432,0.33592528,1237.835788,0.026472975,23093.65655,627.9823467,0.052181714,5.767626639,0.541775297,20109.5929,7.861868665,0.367668855,328.9471614,0.076951336,20438.54007,1703.889547,0.014855965,5.885000102,0.609894673,22199.09926,7.84863095,0.189786038,134.0163948,0.04958492,22333.11565,1165.160122,0.005703244
44,403G_3,5.679027949,0.603899278,22402.64073,8.071601461,0.328807214,214.2867772,0.027818666,22616.92751,647.1763249,0.009211048,5.782296422,0.548589794,20507.56319,7.974691564,0.120501024,6.325719357,0.079043073,20513.88891,1760.647833,0.000283989,5.867745001,0.591247196,22597.33309,8.012949176,0.205837867,17.36885431,0.041630123,22614.70195,982.3481077,0.00073606
45,403G_4,5.657407234,0.601468451,22584.13105,8.512636928,0.021766839,8.857871161,0.027552664,22592.98892,640.1344528,0.00038126,5.788733256,0.545665996,20429.80796,9.000647626,0.070169952,0.109674819,0.078144512,20429.91763,1731.818018,4.94884E-06,5.862144636,0.59379347,22504.35293,8.562369984,0.026723994,3.873935273,0.045082017,22508.22687,1062.621371,0.000164353
46,575_1,5.674116893,0.611841203,22815.45872,7.94570631,0.392608203,344.8980814,0.030626201,23160.3568,731.7236652,0.014435665,5.866446796,0.550211205,19977.6481,7.790505961,0.43137074,324.9908074,0.072286641,20302.63891,1581.964472,0.014850203,5.869452997,0.596724582,22387.08712,7.98273713,0.220414965,58.32465207,0.050869809,22445.41177,1202.989657,0.002466325
47,575_4,5.705021488,0.592662403,22445.59578,8.541834474,0.01485211,0.031330008,0.026546167,22445.62711,612.0941221,1.35876E-06,5.881815878,0.550550638,20353.64284,8.753452791,0.202222675,0.562339713,0.072320798,20354.20518,1586.790302,2.56296E-05,5.941214782,0.59835633,23013.43458,9.103905818,0.022716629,0.102292617,0.039011711,23013.53687,934.243911,4.27149E-06
48,576_1,5.751648671,0.580217246,22848.49197,8.695434934,0.08806513,1.770304773,0.025866794,22850.26227,606.7578978,7.54701E-05,5.825261245,0.538438802,19720.12847,8.912350929,0.194709873,3.47318054,0.079279999,19723.60165,1698.33079,0.000162132,5.95429646,0.583337187,22829.92045,8.761652997,0.020290728,0.34660832,0.045125245,22830.26706,1078.907362,1.44969E-05
49,576_4,5.704337877,0.587901322,22729.31555,8.540291394,0.013632594,0.065494724,0.027969668,22729.38104,654.0261369,2.80091E-06,5.838326999,0.551472466,19688.57356,9.341895269,0.397728081,2.56764565,0.08599588,19691.1412,1852.679855,0.000119182,5.906752439,0.568890183,22733.75669,9.168211636,0.136776157,4.121611857,0.043677049,22737.8783,1038.481231,0.000173349
50,404_1,5.736217515,0.601452787,19114.56716,8.333878742,0.442278497,4246.405845,0.021251488,23360.97301,507.2349259,0.177910543,5.873283342,0.615708393,19654.78645,8.231684317,0.36901127,1807.029757,0.075084106,21461.81621,1742.257088,0.077875541,5.868819165,0.604077899,20505.97475,8.233545265,0.369767233,1747.943289,0.048872874,22253.91804,1143.499015,0.074706677
